eventID,year,locality,verbatimLocality,recordedBy,georeferenceSources,decimalLatitude,decimalLongitude,lat,long,uncertainty,n
"MVZ,Bosque Estatal de Vega, Rd. 676, km 0.45,2001",2001,"Bosque Estatal de Vega, Rd. 676, km 0.45","Bosque Estatal de Vega, Road 676, km 0.45",Collector(s): Javier A. Rodríguez,GPS,18.41432,-66.33575,18.41432,-66.33575,30,20
"MVZ,km 8.3 on Rd. 187, Bosque Estatal de Piñones and adjacent areas,2001",2001,"km 8.3 on Rd. 187, Bosque Estatal de Piñones and adjacent areas","Bosque Estatal de Piñones and adjacent areas, Road 187, km. 8.3, 0m elevation (sea level)",Collector(s): Javier A. Rodríguez,GPS,18.44248,-65.95688,18.44248,-65.95688,30,18
"MVZ,Sector La Maldonado, km 1.7 on Rd. 629,2002",2002,"Sector La Maldonado, km 1.7 on Rd. 629","Puerto Rico: Municipio de Florida, Sector La Maldonado, Km 1.7 on Rd 629, 18 deg. 20' 43.9"""" N, 66 deg. 34' 18.9"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,18.34553,-66.57192,18.34553,-66.57192,30,15
"MVZ,Barrio Jaguapasto, at the end of Rd. 378 (km 12.5),2001",2001,"Barrio Jaguapasto, at the end of Rd. 378 (km 12.5)","Barrio Jaguapasto, at the end of Road 378 (km 12.5)",Collector(s): Javier A. Rodríguez,GPS,18.12408,-66.79268,18.12408,-66.79268,30,15
"MVZ,Bosque Nacional del Caribe (El Verde), vicinity of Quebrada Grande, km 15.6 on Rd. 186,1996",1996,"Bosque Nacional del Caribe (El Verde), vicinity of Quebrada Grande, km 15.6 on Rd. 186","Municipality of Rio Grande, Caribbean Nat'l Forest, vicinity Quebrada Grande, km 15.6 on Rd. 186",Collector(s): Javier A. Rodríguez,"USGS Puerto Rico. 1967. 1:20,000",18.2926359,-65.83265067,18.3043372,-65.8330594,100,14
"MVZ,Barrio Río Grande, N of Río Grande de Morovis, 965 m W of km 42.5 on Rd. 155,1996",1996,"Barrio Río Grande, N of Río Grande de Morovis, 965 m W of km 42.5 on Rd. 155","Municipality of Morovis, N Rio Grande de Morovis, 800 M W km 42.5 on Rd. 155",Collector(s): Javier A. Rodríguez,GPS,18.29467,-66.41417,18.29467,-66.41417,30,11
"MVZ,Playa Zoní (at end of Rd. 250 west),2003",2003,Playa Zoní (at end of Rd. 250 west),"Puerto Rico: Municipio de Culebra, Playa Zoni (at the end of Road 250 west), 18° 19' 10.4"""" N, 65° 15' 17.3"""" W",Collector(s): Javier A. Rodríguez,not recorded,18.31956,-65.25481,18.31956,-65.25481,30,10
"MVZ,Playa Flamenco (at the end of Rd. 251 north),2003",2003,Playa Flamenco (at the end of Rd. 251 north),"Puerto Rico: Municipio de Culebra, Playa Flamenco (at the end of Road 251 north), 18° 19' 45.7"""" N, 65° 18' 48.9"""" W",Collector(s): Javier A. Rodríguez,not recorded,18.32936,-65.31358,18.32796,-65.315775,1000,10
"MVZ,Mosquito, km 12.1 on Rd. 200,2002",2002,"Mosquito, km 12.1 on Rd. 200","Puerto Rico: Municipio de Vieques, Mosquito, Km 12.1 on Rd 200, 18 deg. 07' 05.0"""" N, 65 deg. 32' 40.2"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,18.11806,-65.5445,18.11806,-65.5445,30,10
"MVZ,on Rd. 621, 6.1 km W intersection between Hwy. 10 and Rd. 621, Bosque Estatal de Río Abajo,2001",2001,"on Rd. 621, 6.1 km W intersection between Hwy. 10 and Rd. 621, Bosque Estatal de Río Abajo","Bosque Estatal de Río Abajo, 6.1 km. west of intersection between Highway 10 and Road 621, along Road 621",Collector(s): Javier A. Rodríguez,GPS,18.32788,-66.7121,18.32788,-66.7121,30,10
"MVZ,km 8.3 on Rd. 187, Bosque Estatal de Piñones and adjacent areas,2000",2000,"km 8.3 on Rd. 187, Bosque Estatal de Piñones and adjacent areas","Bosque Estatal de Piñones and adjacent areas, Km. 8.3 on Rd. 187, 0m elevation (sea level).",Collector(s): Javier A. Rodríguez,GPS,18.44248,-65.95688,18.44248,-65.95688,30,10
"MVZ,Esperanza, km 2.5 on Rd. 996,2002",2002,"Esperanza, km 2.5 on Rd. 996","Puerto Rico: Municipio de Vieques, Esperanza, Km 2.5 on Rd 996, 18 deg. 06' 00.8"""" N, 65 deg. 28' 19.3"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,18.10022,-65.47203,18.10022,-65.47203,30,8
"MVZ,F-6 Almendro Street, Haciendas del Dorado,2001",2001,"F-6 Almendro Street, Haciendas del Dorado","Haciendas del Dorado, F-6 Almendro Street",Collector(s): Javier A. Rodríguez,GPS,18.37395,-66.28403,18.37395,-66.28403,30,8
"MVZ,Barrio Puerto de Jobos, 0.5 km on Rd. 707,2002",2002,"Barrio Puerto de Jobos, 0.5 km on Rd. 707","Puerto Rico: Municipio de Guayama, Barrio Puerto de Jobos, 0.5 km on Rd 707, 17 deg. 57' 19.0"""" N, 66 deg. 10' 13.1"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,17.95528,-66.17031,17.95528,-66.17031,30,7
"MVZ,Urbanización Colinas de Guaynabo, D-15 Yagrumo Street,2001",2001,"Urbanización Colinas de Guaynabo, D-15 Yagrumo Street","Urbanización Colinas de Guaynabo, D-15 Yagrumo Street",Collector(s): Javier A. Rodríguez,GPS,18.35532,-66.11578,18.35532,-66.11578,30,7
"MVZ,Bosque Estatal de Maricao, km 13.7 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 13.7 on Rd. 119","Municipality of Maricao, Reserva Forestal de Maricao, km 13.7 on Rd. 119",Collector(s): Javier A. Rodríguez,"Great Britain. War Office. General Staff. Topographical Section. 1905. 1:500,000",18.13815,-66.9671,18.13815,-66.9671,1000,7
"MVZ,km 4.6 on Rd. 7722,1996",1996,km 4.6 on Rd. 7722,"Municipality of Aibonito, km 4.6 on Rd. 7722",Collector(s): Javier A. Rodríguez,"USGS. Puerto Rico e islas limitrofes. 1971. 1:120,000",18.12543,-66.25121,18.12543,-66.25121,100,7
"MVZ,100 m W Camposanto Cristo Resucitado, ca. 400 m E Ponce Hotel Tropical Casino (currently Ponce Holiday Inn), ca. 200 m N km 221.2 on Hwy. 2,1996",1996,"100 m W Camposanto Cristo Resucitado, ca. 400 m E Ponce Hotel Tropical Casino (currently Ponce Holiday Inn), ca. 200 m N km 221.2 on Hwy. 2","Municip. Ponce, 100 M W Camposanto Cristo Resucitado, 400 M E Ponce Hotel Trop. Casino, 200 M N km 221.2 on Rd.2",Collector(s): Javier A. Rodríguez,GPS,17.97948,-66.66662,17.97948,-66.66662,30,6
"MVZ,Bosque Nacional del Caribe (El Verde), 2.7 km N intersection between Road 186 and Road 960, along Road 186,2001",2001,"Bosque Nacional del Caribe (El Verde), 2.7 km N intersection between Road 186 and Road 960, along Road 186","Bosque Nacional del Caribe (El Verde), 2.7 km north intersection between Road 186 and Road 960, along Road 186",Collector(s): Javier A. Rodríguez,GPS,18.3238,-65.82017,18.3238,-65.82017,30,5
"MVZ,km 0.45 on Road 676 across the street from Bosque Estatal de Vega,2001",2001,km 0.45 on Road 676 across the street from Bosque Estatal de Vega,"Road 676, km. 0.45, (across the street from Bosque Estatal de Vega)",Collector(s): Javier A. Rodríguez,GPS,18.41432,-66.33575,18.41432,-66.33575,30,5
"MVZ,Rd. 143, Km 17.2,2001",2001,"Rd. 143, Km 17.2","Road 143, km. 17.2.",Collector(s): Javier A. Rodríguez,GPS,18.16247,-66.58462,18.16247,-66.58462,30,5
"MVZ,Sector Belverede, Rd. 102, km 14.8,2001",2001,"Sector Belverede, Rd. 102, km 14.8","Sector Belverede, Road 102, km 14.8",Collector(s): Javier A. Rodríguez,GPS,18.10897,-67.18107,18.10897,-67.18107,30,5
"MVZ,Bosque Estatal de Maricao, km 15.6 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 15.6 on Rd. 119","Municipality of Maricao, Reserva Forestal de Maricao, km 15.6 on Rd. 119",Collector(s): Javier A. Rodríguez,"Great Britain. War Office. General Staff. Topographical Section. 1905. 1:500,000",18.13815,-66.9671,18.13815,-66.9671,1000,5
"MVZ,Bahía Ballena, 30 m N of beach, km 9.1 on Rd. 333,1996",1996,"Bahía Ballena, 30 m N of beach, km 9.1 on Rd. 333","Municipality of Guanica, Reserva Forestal de Guanica, Bahia Ballena, 30 M N Beach, km 9.1 on Rd.333",Collector(s): Javier A. Rodríguez,GPS,17.95565,-66.85942,17.95565,-66.85942,30,5
"MVZ,Rd 304, km 3.3, Colinas La Parguera, Reparto Laborde,2003",2003,"Rd 304, km 3.3, Colinas La Parguera, Reparto Laborde","Puerto Rico: Municipio de Lajas, Reparto Laborde, Colinas La Parguera, Road 304, Km. 3.3, 17° 58' 40.5"""" N, 67° 03' 14.9"""" W",Collector(s): Javier A. Rodríguez,not recorded,17.97792,-67.05414,17.97792,-67.05414,100,4
"MVZ,near end of Rd. 200, area surrounding Laguna Kiani, on NW part of Vieques Island,2002",2002,"near end of Rd. 200, area surrounding Laguna Kiani, on NW part of Vieques Island","Puerto Rico: Municipiode Vieques, near end of Rd 200, area surrounding Laguna Kiani, on northwestern part of Vieques, 18 deg. 07' 01.8"""" N, 65 deg. 33' 42.4"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,18.11717,-65.56178,18.11717,-65.56178,30,4
"MVZ,Rd. 466, ca. km 11.5 along Elias PTrez #1 Trail, Bosque Estatal de Guajataca,2001",2001,"Rd. 466, ca. km 11.5 along Elias PTrez #1 Trail, Bosque Estatal de Guajataca","Bosque Estatal de Guajataca, Road 466, ca. km 11.5 along Elias Pérez #1 Trail",Collector(s): Javier A. Rodríguez,GPS,18.409,-66.96583,18.409,-66.96583,30,4
"MVZ,Barrio Sierra Baja, Rd. 378, km 3.2,2001",2001,"Barrio Sierra Baja, Rd. 378, km 3.2","Barrio Sierra Baja, Road 378, km 3.2",Collector(s): Javier A. Rodríguez,GPS,18.0691,-66.79037,18.0691,-66.79037,30,4
"MVZ,Área Escénica, ca. 100 m of intersection between Hwy. 10 and Rd. 621,2001",2001,"Área Escénica, ca. 100 m of intersection between Hwy. 10 and Rd. 621","Área Escénica, ca. 100m of intersection between Highway 10 and Road 621",Collector(s): Javier A. Rodríguez,GPS,18.33363,-66.67528,18.33363,-66.67528,30,4
"MVZ,Bosque Estatal de Toro Negro, just S Lago El Guineo, km 26.1 on Rd. 143,1996",1996,"Bosque Estatal de Toro Negro, just S Lago El Guineo, km 26.1 on Rd. 143","Municipality of Orocovis, Reserva Forestal de Toro Negro, S Lago El Guineo, km 26.1 on Rd. 143",Collector(s): Javier A. Rodríguez,"University Society, New York. Puerto Rico. 1940. 1:360,000",18.19737,-66.54605,18.19737,-66.54605,1000,4
"MVZ,Mosquito, km 9.9 on Rd. 200,2002",2002,"Mosquito, km 9.9 on Rd. 200","Puerto Rico: Municipio de Vieques, Mosquito, Km 9.9 on Rd 200, 18 deg. 07' 56.2"""" N, 65 deg. 31' 22.0"""" W (WGS 84 datum)",Collector(s): Javier A. Rodríguez,GPS,18.13228,-65.52278,18.13228,-65.52278,30,3
"MVZ,ca. 200 m N Hwy. 2, km 221.2, ca. 100 m W Camposanto de Cristo Resucitado and ca. 400m E Ponce Holiday Inn,2001",2001,"ca. 200 m N Hwy. 2, km 221.2, ca. 100 m W Camposanto de Cristo Resucitado and ca. 400m E Ponce Holiday Inn","ca. 200m north of Highway 2, km. 221.2, ca. 100m west of Camposanto de Cristo Resucitado and ca. 400m east of Ponce Holiday Inn",Collector(s): Javier A. Rodríguez,GPS,17.97948,-66.66662,17.97948,-66.66662,30,3
"MVZ,Barrio Juan Alonso, Rd. 105, km 2.8,2001",2001,"Barrio Juan Alonso, Rd. 105, km 2.8","Barrio Juan Alonso, Road 105, km 2.8",Collector(s): Javier A. Rodríguez,GPS,18.19478,-67.11238,18.19478,-67.11238,30,3
"MVZ,km 0.7 Rd. 618, Sector El Jobo, Barrio Morovis Sur,2001",2001,"km 0.7 Rd. 618, Sector El Jobo, Barrio Morovis Sur","Barrio Morovis Sur, Sector El Jobo, Road 618, km 0.7",Collector(s): Javier A. Rodríguez,GPS,18.30927,-66.40263,18.30927,-66.40263,30,3
"MVZ,Bosque Estatal de Maricao, km 16.0 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 16.0 on Rd. 119","Municipality of Maricao, km 16.0 on Rd. 119",Collector(s): Javier A. Rodríguez,Provided by collector.,18.16,-67.03,18.16,-67.03,1000,3
"MVZ,Playa Tamarindo, 200 m N of beach, km 10.2 on Rd. 333,1996",1996,"Playa Tamarindo, 200 m N of beach, km 10.2 on Rd. 333","Municipality of Guanica, Reserva Forestal de Guanica, Bahia Ballena, 200 M N Beach, km 10.2 on Rd.333",Collector(s): Javier A. Rodríguez,GPS,17.95352,-66.8473,17.95352,-66.8473,30,3
"MVZ,Barrio Morovis Sur, SEctor La Coroza, 0.5 km along Rd. 6618 (off km 1.4 on Rd. 617),2001",2001,"Barrio Morovis Sur, SEctor La Coroza, 0.5 km along Rd. 6618 (off km 1.4 on Rd. 617)","Barrio Morovis Sur, Sector La Coroza, 0.5 km. along Road 6618 (off km 1.4 on Road 617).",Collector(s): Javier A. Rodríguez,GPS,18.31673,-66.41882,18.31673,-66.41882,30,2
"MVZ,University of Puerto Rico, Río Piedras campus, area surrounding Oficina de Seguridad,2001",2001,"University of Puerto Rico, Río Piedras campus, area surrounding Oficina de Seguridad","University of Puerto Rico, Río Piedras campus, area surrounding Oficina de Seguridad",Collector(s): Javier A. Rodríguez,GPS,18.40513,-66.04472,18.40513,-66.04472,30,2
"MVZ,Bosque Estatal de Maricao, km 12.2 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 12.2 on Rd. 119","Municipality of Maricao, Reserva Forestal de Maricao, km 12.2 on Rd. 119",Collector(s): Javier A. Rodríguez,"Great Britain. War Office. General Staff. Topographical Section. 1905. 1:500,000",18.13815,-66.9671,18.13815,-66.9671,1000,2
"MVZ,Bosque Estatal de Maricao, km 12.1 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 12.1 on Rd. 119","Municipality of Maricao, Reserva Forestal de Maricao, km 12.1 on Rd. 119",Collector(s): Javier A. Rodríguez,"Great Britain. War Office. General Staff. Topographical Section. 1905. 1:500,000",18.13815,-66.9671,18.13815,-66.9671,1000,2
"MVZ,Bosque Nacional del Caribe (El Verde), km 19.3 on Rd. 186,1996",1996,"Bosque Nacional del Caribe (El Verde), km 19.3 on Rd. 186","Municipality of Rio Grande, Caribbean Nat'l Forest, km 19.3 on Rd. 186",Collector(s): Javier A. Rodríguez,"USGS Puerto Rico. 1967. 1:20,000",18.28423632,-65.79154977,18.28423632,-65.79154977,1000,2
"MVZ,Bosque Nacional del Caribe (El Verde), vicinity of Quebrada Grande, km 15.6 on Rd. 186,1996",1996,"Bosque Nacional del Caribe (El Verde), vicinity of Quebrada Grande, km 15.6 on Rd. 186","Municipality of Rio Grande, Caribbean Nat'l Forest, vicinity Quebrada Grande, km 15.6 on Rd.186",Collector(s): Javier A. Rodríguez,"USGS Puerto Rico. 1967. 1:20,000",18.2926359,-65.83265067,18.2926359,-65.83265067,1000,2
"MVZ,Barrio Río Grande, Sector El Cerro, Km. 42.5 (interior) on Rd. 155,2006",2006,"Barrio Río Grande, Sector El Cerro, Km. 42.5 (interior) on Rd. 155","Puerto Rico: Municipio de Morovis, Barrio Río Grande, Sector El Cerro, Road 155, Km. 42.5 (interior).",Collector(s): Javier A. Rodríguez,Google Maps,18.2956,-66.4189,18.2956,-66.4189,100,1
"MVZ,km 0.7 Rd. 618, Sector El Jobo, Barrio Morovis Sur,2001",2001,"km 0.7 Rd. 618, Sector El Jobo, Barrio Morovis Sur","Barrio Morovis Sur, Sector El Jobo, Rd. 618, km 0.7",Collector(s): Javier A. Rodríguez,GPS,18.30927,-66.40263,18.30927,-66.40263,30,1
"MVZ,Bosque Estatal de Maricao, km 12.4 on Rd. 119,1997",1997,"Bosque Estatal de Maricao, km 12.4 on Rd. 119","Municipality of Maricao, Reserva Forestal de Maricao, km 12.4 on Rd. 119",Collector(s): Javier A. Rodríguez,"Great Britain. War Office. General Staff. Topographical Section. 1905. 1:500,000",18.13815,-66.9671,18.13815,-66.9671,1000,1
"MVZ,Sector Paraíso, Km. 9.7 on Rd. 976 (ca. 9.3 km SW intersection btwn. Rd. 976 and Hwy. 3, along Rd. 976),2010",2010,"Sector Paraíso, Km. 9.7 on Rd. 976 (ca. 9.3 km SW intersection btwn. Rd. 976 and Hwy. 3, along Rd. 976)","Puerto Rico: Municipio de Fajardo, Sector Paraíso, Km. 9.7 on Rd. 976 (ca. 9.3 km SW intersection btwn. Rd. 976 and Hwy. 3, along Rd. 976)","Collector(s): Javier A. Rodríguez, Anthony M. Quiñones, Michael J. Quiñones",GPS,18.2758,-65.71528,18.2758,-65.71528,30,11
"MVZ,Municipio de Corozal, Bosque Estatal Monte de Choca, Barrio Palos Blancos, Rd. 808, Kilometer 7,2007",2007,"Municipio de Corozal, Bosque Estatal Monte de Choca, Barrio Palos Blancos, Rd. 808, Kilometer 7","Puerto Rico: Municipio de Corozal, Bosque Estatal Monte de Choca, Palos Blancos, Road 808, Km. 7.0.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS (converted from decimal minutes),18.28615,-66.2933,18.28615,-66.2933,30,17
"MVZ,Bosque Estatal de Toro Negro, Km. 26.7 on Rd. 143, area surrounding Lago El Guineo.,2006",2006,"Bosque Estatal de Toro Negro, Km. 26.7 on Rd. 143, area surrounding Lago El Guineo.","Puerto Rico: Municipio de Orocovis, Bosque Estatal de Toro Negro, Road 143, Km. 26.7, area surrounding Lago El Guineo. (In 1996 and 2003 I recorded Km. 26.1 for this exact locality.)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.15961,-66.52683,18.15961,-66.52683,100,16
"MVZ,Barrio Río Grande, Rd. 155, Kilometer 43 (interior),2007",2007,"Barrio Río Grande, Rd. 155, Kilometer 43 (interior)","Puerto Rico: Municipio de Morovis, Barrio Río Grande, Road 155, Km. 43.0 (interior)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS (converted from decimal minutes),18.29018,-66.41413,18.29018,-66.41413,30,13
"MVZ,Barrio Río Grande, Rd. 155, Kilometer 43 (interior),2007",2007,"Barrio Río Grande, Rd. 155, Kilometer 43 (interior)","Puerto Rico: Municipio de Morovis, Barrio Río Grande, Road 155, Km. 43.0 (interior).","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS (converted from decimal minutes),18.29018,-66.41413,18.29018,-66.41413,30,13
"MVZ,Km. 223.4 on Hwy. 2,2011",2011,Km. 223.4 on Hwy. 2,"Puerto Rico: Munipio de Ponce, Highway 2, Km. 223.4. 17° 59.246' N, 66° 38.867' W (WGS 84 datum).","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,17.98743,-66.64778,17.98743,-66.64778,30,12
"MVZ,Barrio Lomas Vallés, Rd. 164, Kilometer 10.7,2007",2007,"Barrio Lomas Vallés, Rd. 164, Kilometer 10.7","Puerto Rico: Municipio de Naranjito, Barrio Lomas Vallés, Road 164, Km. 10.7.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS (converted from decimal minutes),18.31302,-66.27867,18.31302,-66.27867,30,12
"MVZ,Barrio Río Abajo, Km. 61.8 on Rd. 123,2006",2006,"Barrio Río Abajo, Km. 61.8 on Rd. 123","Puerto Rico: Municipio de Utuado, Barrio Río Abajo, Road 123, Km. 61.8.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.30728,-66.69295,18.30728,-66.69295,100,12
"MVZ,Km. 10.4 on Rd. 128, area surrounding Embalse (=Lake) Lucchetti,2006",2006,"Km. 10.4 on Rd. 128, area surrounding Embalse (=Lake) Lucchetti","Km. 10.4 on Rd. 128, area surrounding Embalse (=Lake) Lucchetti","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS-Garmin 12XL,18.0915,-66.86368,18.0915,-66.86368,30,12
"MVZ,3.7 km S intersection btwn. Hwy. 3 and Rd. 186, along Rd. 186,2011",2011,"3.7 km S intersection btwn. Hwy. 3 and Rd. 186, along Rd. 186","Puerto Rico: Munipio de Río Grande, 3.7 km south of intersection between Highway 3 and Road 186, along Road 186. 18° 20.813' N, 65° 49.434' W (WGS 84 datum, EPE: 3 m).","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.34688,-65.8239,18.34688,-65.8239,30,11
"MVZ,Bosque Urbano del Nuevo Milenio, ca. 2.1 km S of intersection between Luis Muñoz Rivera Ave. (=Hwy. 3) and Guaracanal St. (=Rd. 847), along Guaracanal St.,2008",2008,"Bosque Urbano del Nuevo Milenio, ca. 2.1 km S of intersection between Luis Muñoz Rivera Ave. (=Hwy. 3) and Guaracanal St. (=Rd. 847), along Guaracanal St.","Puerto Rico: Municipio de San Juan, Bosque Urbano del Nuevo Milenio, ca. 2.1 km south of intersection between Luis Muñoz Rivera Avenua (=Highway 3) and Guaracanal Street (=Road 847), along Guaracanal Street","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.3835,-66.04625,18.3835,-66.04625,30,11
"MVZ,Bosque Estatal de Cambalache, Barrio Garrochales, Km. 6.6 on Rd. 682,2011",2011,"Bosque Estatal de Cambalache, Barrio Garrochales, Km. 6.6 on Rd. 682","Puerto Rico: Municipio de Arecibo, Bosque Estatal de Cambalache, Barrio Garrochales, Road 682, Km. 6.6. 18° 27.144' N, 66° 35.824' W (WGS 84 datum)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.4524,-66.59707,18.4524,-66.59707,30,10
"MVZ,Barrio Río Abajo, Km. 61.8 on Rd. 123.,2006",2006,"Barrio Río Abajo, Km. 61.8 on Rd. 123.","Puerto Rico: Municipio de Utuado, Barrio Río Abajo, Road 123, Km. 61.8.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.30728,-66.69295,18.30728,-66.69295,100,10
"MVZ,Bosque Estatal de Carite, Km. 26.0 on Rd. 184,2006",2006,"Bosque Estatal de Carite, Km. 26.0 on Rd. 184","Puerto Rico: Municipio de Cayey, Bosque Estatal de Carite, Road 184, Km. 26.0.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.12232,-66.0783,18.12232,-66.0783,100,10
"MVZ,Bosque Estatal de Guajataca, ca. 15.1 km S intersection between Rd. 446 and Hwy. 2, along Rd. 446.,2006",2006,"Bosque Estatal de Guajataca, ca. 15.1 km S intersection between Rd. 446 and Hwy. 2, along Rd. 446.","Puerto Rico: Municipio de Isabela, Bosque Estatal de Guajataca, ca. 15.1 km south of intersection between Road 446 and Highway 2, along Road 446.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.41303,-66.96575,18.41303,-66.96575,100,10
"MVZ,Bosque Estatal de Maricao, Km. 17.2 on Rd. 120,2011",2011,"Bosque Estatal de Maricao, Km. 17.2 on Rd. 120","Puerto Rico: Municipio de Maricao, Bosque Estatal de Maricao, Road 120, Km. 17.2. 18° 09.569' N, 66° 59.928' W (WGS 84 datum, EPE: 3 m)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.15948,-66.9988,18.15948,-66.9988,30,9
"MVZ,Km 23.1 on Rd. 128,2006",2006,Km 23.1 on Rd. 128,Km 23.1 on Rd. 128,"Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS-Garmin 12XL,18.13958,-66.88085,18.13958,-66.88085,30,9
"MVZ,Camino Sonadora, ca. 400 m NE of intersection btwn. Hwy. 10 and Rd. 515,2011",2011,"Camino Sonadora, ca. 400 m NE of intersection btwn. Hwy. 10 and Rd. 515","Puerto Rico: Municipio de Ponce, Camino Sonadora, ca. 400 m northeast of intersection between Highway 10 and road 515. 18° 07.229' N, 66° 39.318' W (WGS 84 datum, EPE: 5 m).","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.12048,-66.6553,18.12048,-66.6553,30,7
"MVZ,Bosque Estatal de Río Abajo, ca. 5.3 km W intersection btwn. Hwy. 10 and Rd. 621, along Rd. 621,2011",2011,"Bosque Estatal de Río Abajo, ca. 5.3 km W intersection btwn. Hwy. 10 and Rd. 621, along Rd. 621","Puerto Rico: Municipio de Arecibo, Bosque Estatal de Río Abajo, ca. 5.3 km west of intersection between Highway 10 and Road 621. 18° 19.820' N, 66° 42.404' W (WGS 84 datum, EPE: 7 m)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.33033,-66.70673,18.33033,-66.70673,30,7
"MVZ,Bosque Estatal de Vega, Km. 0.45 on Rd. 676,2011",2011,"Bosque Estatal de Vega, Km. 0.45 on Rd. 676","Puerto Rico: Municipio de Vega Alta, Bosque Estatal de Vega, Road 676, Km. 0.45.18° 24.898' N, 66° 20.173' W (WGS 84 datum, EPE: 7 m)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.41497,-66.33622,18.41497,-66.33622,30,7
"MVZ,Bosque Estatal de Carite, Km. 26.0 on Rd. 184,2011",2011,"Bosque Estatal de Carite, Km. 26.0 on Rd. 184","Puerto Rico:Puerto Rico: Municipio de Cayey, Bosque Estatal de Carite, Road 184, Km. 26.0. 18° 07.339' N, 66° 04.698' W (WGS 84 datum)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.12232,-66.0783,18.12232,-66.0783,30,6
"MVZ,Bosque Estatal de Carite, Km. 26.0 on Rd. 184,2011",2011,"Bosque Estatal de Carite, Km. 26.0 on Rd. 184","Puerto Rico: Municipio de Cayey, Bosque Estatal de Carite, Road 184, Km. 26.0. 18° 07.339' N, 66° 04.698' W (WGS 84 datum)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.12232,-66.0783,18.12232,-66.0783,30,6
"MVZ,Barrio Talante, Sector Lebrón, 2.8 km N intersection btwn. Hwy. 3 and Rd. 750, along Rd. 750,2011",2011,"Barrio Talante, Sector Lebrón, 2.8 km N intersection btwn. Hwy. 3 and Rd. 750, along Rd. 750","Puerto Rico: Municipio de Maunabo, Barrio Talante, Sector Lebrón, 2.8 km north of intersection between Highway 3 and Road 750, along Road 750. 18° 01.586' N, 66° 54.822' W (WGS 84 datum, EPE: 6 m)","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",GPS,18.02643,-65.9137,18.02643,-65.9137,30,6
"MVZ,Bosque Estatal de Guajataca, ca. 15.1 km S intersection btwn. Rd. 446 and Hwy. 2, along Rd. 446,2006",2006,"Bosque Estatal de Guajataca, ca. 15.1 km S intersection btwn. Rd. 446 and Hwy. 2, along Rd. 446","Puerto Rico: Municipio de Isabela, Bosque Estatal de Guajataca, ca. 15.1 km south of intersection between Road 446 and Highway 2, along Road 446.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.41303,-66.96575,18.41303,-66.96575,100,6
"MVZ,Bosque Estatal de Guajataca, ca. 15.1 km S intersection between. Rd. 446 and Hwy. 2, along Rd. 446.,2006",2006,"Bosque Estatal de Guajataca, ca. 15.1 km S intersection between. Rd. 446 and Hwy. 2, along Rd. 446.","Puerto Rico: Municipio de Isabela, Bosque Estatal de Guajataca, ca. 15.1 km south of intersection between Road 446 and Highway 2, along Road 446.","Collector(s): Javier A. Rodríguez, Carmen D. Ortiz",Google Maps,18.41303,-66.96575,18.41303,-66.96575,100,6
